               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.023368,            0.026333,           0.0017392,             0.98885,             0.99612,             0.99285,             0.69833,            0.015532,            0.021565,          0.00060101,            0.005545,            0.005545,            0.005545
                  92,            0.023391,            0.027272,           0.0018913,             0.98345,             0.99686,             0.99274,             0.69133,            0.015611,            0.022113,          0.00058537,           0.0054955,           0.0054955,           0.0054955
                  93,            0.023193,            0.026667,            0.001392,             0.98234,              0.9965,             0.99277,             0.69941,              0.0155,             0.02262,          0.00058029,            0.005446,            0.005446,            0.005446
                  94,            0.023554,            0.026653,           0.0016215,             0.98524,             0.99686,             0.99255,             0.68646,            0.015784,            0.022211,           0.0006139,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022996,            0.026085,           0.0012961,             0.98444,             0.99645,             0.99134,             0.70191,            0.015668,            0.021886,          0.00066774,            0.005347,            0.005347,            0.005347
                  96,             0.02299,            0.026059,           0.0016388,             0.98417,             0.99279,             0.99103,             0.68912,            0.016231,            0.022313,          0.00054627,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023089,             0.02551,            0.001577,             0.98153,             0.99686,             0.99184,             0.67882,            0.016422,            0.022958,          0.00056131,            0.005248,            0.005248,            0.005248
                  98,            0.022739,            0.025981,           0.0014507,             0.97859,             0.99686,             0.99232,             0.65922,            0.016437,            0.023517,          0.00055726,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022683,            0.026915,           0.0010988,             0.98271,             0.99248,             0.99225,             0.68376,            0.015791,             0.02261,          0.00056065,            0.005149,            0.005149,            0.005149
                 100,            0.022417,            0.026998,           0.0015602,             0.98098,             0.99556,             0.99263,              0.6916,            0.015296,            0.021932,          0.00065897,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022526,            0.026476,           0.0016797,             0.98109,             0.99686,             0.99144,             0.68404,            0.015987,            0.022769,          0.00063252,             0.00505,             0.00505,             0.00505
                 102,             0.02254,            0.026773,           0.0014721,             0.98995,               0.993,              0.9918,             0.69799,            0.015646,            0.022264,          0.00056822,           0.0050005,           0.0050005,           0.0050005
                 103,            0.022455,             0.02525,           0.0018259,             0.98307,             0.98633,             0.99196,             0.69394,            0.016081,             0.02255,          0.00098049,            0.004951,            0.004951,            0.004951
                 104,            0.022261,            0.026551,           0.0019292,             0.98277,              0.9956,              0.9904,             0.68901,             0.01589,            0.022778,          0.00061782,           0.0049015,           0.0049015,           0.0049015
                 105,            0.022693,            0.025667,           0.0014521,             0.98704,             0.99686,             0.99212,             0.69236,            0.015524,            0.021279,          0.00061532,            0.004852,            0.004852,            0.004852
                 106,            0.021342,            0.027171,           0.0012702,             0.98269,             0.99465,             0.99112,             0.69709,            0.015443,            0.021064,          0.00071699,           0.0048025,           0.0048025,           0.0048025
                 107,            0.022092,            0.025982,           0.0011493,             0.97989,             0.99654,             0.99149,             0.69256,            0.015588,            0.021571,          0.00070576,            0.004753,            0.004753,            0.004753
